tipo,fechahora,ubicacion,duracion,calorias,distancia,frecuencia,compartido
Elíptica,5/4/2019 16:19,Sevilla,47,216,9.32,90,S
Tenis,27/9/2020 10:17,Huelva,97,338,16.41,115,S
Elíptica,1/7/2021 3:47,Sevilla,57,357,19.74,129,N
Remo,7/2/2021 17:31,Málaga,127,261,18.83,124,N
Cinta,14/8/2020 8:51,Málaga,18,174,11.98,87,N
Tenis,10/4/2019 14:27,Málaga,77,312,4.05,90,S
Nadar,21/2/2021 5:01,Córdoba,82,392,3.14,113,S
Cinta,30/5/2019 3:39,Sevilla,125,277,6.81,135,N
Nadar,2/9/2021 9:09,Cádiz,60,322,7.39,100,N
Andar,26/9/2021 22:09,Cádiz,64,351,13.98,81,N
Andar,22/6/2019 9:54,Málaga,17,216,15.3,59,S
Yoga,22/10/2021 15:27,Málaga,54,260,0.15,55,S
Bici,24/11/2021 2:10,Cádiz,114,284,16.96,116,S
Cinta,5/8/2019 16:10,Sevilla,79,384,18.07,106,S
Yoga,15/9/2019 4:26,Málaga,43,215,0.09,112,N
Cinta,13/8/2019 2:35,Sevilla,51,174,13.37,140,N
Correr,2/11/2021 9:16,Córdoba,32,261,19.68,96,N
Pilates,27/9/2020 23:38,Málaga,33,307,9.25,102,S
Remo,28/7/2021 21:17,Córdoba,65,178,14.64,65,N
Tenis,17/12/2020 2:19,Córdoba,100,212,3.4,127,S
Cinta,3/12/2021 5:48,Cádiz,15,312,16.78,93,N
Senderismo,30/11/2021 11:13,Córdoba,71,199,5.88,114,N
Yoga,2/8/2019 6:14,Huelva,110,161,0.21,74,N
Correr,2/11/2020 9:43,Málaga,63,391,12.77,128,S
Correr,11/10/2019 7:41,Córdoba,39,254,17.87,140,N
Nadar,29/10/2020 2:22,Málaga,97,291,6.77,137,S
Tenis,26/4/2021 19:09,Sevilla,76,271,8.63,74,N
Correr,6/6/2020 11:44,Huelva,105,360,17.69,135,S
Elíptica,27/2/2019 5:04,Málaga,119,218,13.79,132,N
Pilates,24/7/2021 0:35,Huelva,114,203,5.45,101,S
Remo,16/1/2021 9:51,Córdoba,55,397,17.57,128,N
Cinta,8/5/2021 21:53,Huelva,119,291,8.56,57,S
Tenis,21/5/2021 15:15,Málaga,17,234,3.02,119,N
Cinta,21/2/2021 2:13,Cádiz,122,319,1.99,134,S
Yoga,10/12/2019 11:57,Córdoba,60,184,0.17,121,S
Nadar,4/1/2020 11:53,Córdoba,74,332,14.24,65,N
Remo,24/7/2019 20:04,Córdoba,18,178,2.9,127,N
Cinta,10/4/2020 6:34,Málaga,89,353,0.91,68,N
Correr,14/7/2019 2:52,Sevilla,49,173,10.0,123,N
Elíptica,20/9/2021 17:07,Córdoba,50,181,3.95,91,S
Yoga,21/6/2019 7:22,Sevilla,85,204,0.19,60,S
Elíptica,15/12/2020 0:09,Sevilla,16,329,8.24,71,N
Remo,28/9/2021 22:22,Cádiz,58,329,13.01,112,N
Remo,20/11/2021 5:11,Cádiz,123,267,13.8,98,S
Senderismo,14/9/2019 3:42,Sevilla,115,353,14.14,67,N
Andar,19/7/2020 15:03,Sevilla,119,292,15.03,128,N
Senderismo,7/8/2020 1:17,Sevilla,75,158,1.83,111,N
Elíptica,2/5/2020 20:14,Huelva,127,184,1.18,68,S
Elíptica,9/7/2019 23:13,Sevilla,30,158,1.06,104,N
Remo,15/5/2020 6:58,Málaga,56,304,2.54,61,N
Bici,19/8/2020 4:31,Huelva,26,309,11.47,70,N
Senderismo,27/4/2021 1:47,Málaga,63,253,4.88,88,S
Senderismo,15/3/2021 12:44,Málaga,116,310,8.25,97,N
Cinta,27/6/2021 11:34,Sevilla,112,218,9.05,97,S
Yoga,8/8/2020 20:15,Córdoba,35,192,0.21,130,N
Nadar,30/6/2021 11:38,Huelva,30,325,2.35,57,S
Pilates,23/6/2020 14:01,Córdoba,97,154,0.17,98,N
Pilates,17/7/2021 15:48,Sevilla,22,346,3.95,119,N
Bici,21/1/2021 16:18,Córdoba,117,399,6.23,58,S
Senderismo,15/4/2019 21:16,Málaga,87,213,18.19,89,N
Yoga,14/6/2021 19:00,Málaga,92,387,0.29,113,N
Senderismo,16/12/2019 13:48,Huelva,58,340,2.93,107,S
Elíptica,21/6/2020 8:41,Sevilla,42,239,7.54,64,N
Nadar,25/11/2019 17:25,Córdoba,71,349,6.93,94,S
Cinta,18/5/2020 6:16,Cádiz,34,381,17.67,86,S
Tenis,3/7/2021 1:28,Córdoba,73,162,0.08,110,S
Elíptica,2/6/2020 7:32,Málaga,120,205,2.49,112,S
Remo,7/5/2019 2:24,Málaga,73,210,14.85,75,S
Yoga,26/6/2019 23:55,Córdoba,88,319,0.09,92,N
Andar,22/9/2020 20:45,Sevilla,44,304,14.72,96,S
Elíptica,3/11/2020 5:14,Córdoba,37,302,2.63,75,S
Andar,10/4/2021 11:18,Huelva,85,311,3.86,86,S
Andar,7/12/2021 10:08,Sevilla,125,377,15.01,91,N
Nadar,5/12/2019 0:15,Córdoba,53,310,3.71,128,N
Elíptica,29/5/2020 17:23,Sevilla,101,283,13.96,58,N
Cinta,19/11/2020 22:36,Málaga,110,223,10.66,92,N
Correr,4/12/2019 21:29,Cádiz,88,297,16.2,57,N
Yoga,27/2/2020 19:18,Huelva,99,304,0.09,66,S
Bici,9/1/2021 11:47,Cádiz,119,278,6.9,118,N
Remo,2/8/2019 19:44,Cádiz,74,323,14.48,103,N
Cinta,15/1/2020 19:02,Málaga,55,366,8.55,112,N
Tenis,16/2/2019 21:45,Córdoba,21,211,9.11,91,N
Correr,29/8/2020 23:40,Huelva,122,178,3.31,122,N
Yoga,22/9/2020 17:09,Málaga,120,375,0.17,131,S
Senderismo,5/8/2021 7:57,Córdoba,102,281,19.32,60,S
Remo,30/8/2020 1:21,Huelva,69,291,17.94,56,S
Nadar,25/4/2019 18:52,Huelva,105,373,13.62,81,N
Correr,12/3/2020 15:04,Cádiz,68,372,5.81,105,S
Tenis,5/6/2021 11:36,Cádiz,115,191,9.52,77,S
Remo,6/11/2020 13:24,Sevilla,122,378,14.48,107,S
Elíptica,6/7/2020 15:07,Huelva,108,275,9.3,117,N
Correr,14/11/2019 1:23,Cádiz,58,153,4.84,117,S
Correr,11/12/2019 17:00,Córdoba,106,164,19.12,62,N
Andar,29/8/2021 0:31,Málaga,113,218,14.95,95,N
Andar,4/1/2022 10:28,Huelva,27,315,17.54,106,S
Bici,27/11/2019 23:38,Málaga,26,302,15.91,64,N
Andar,22/9/2019 3:44,Málaga,125,272,2.71,124,S
Pilates,16/11/2019 14:37,Cádiz,59,269,5.44,80,N
Tenis,4/10/2019 21:06,Cádiz,48,191,19.67,133,N
Tenis,16/6/2021 8:08,Málaga,75,296,3.58,58,N
Correr,4/8/2020 8:32,Sevilla,30,338,15.33,90,S
Yoga,9/12/2020 19:14,Huelva,125,262,0.26,65,N
Pilates,9/3/2021 9:16,Córdoba,45,248,10.65,132,S
Remo,30/1/2019 18:59,Sevilla,127,368,16.23,96,N
Elíptica,10/9/2020 13:38,Huelva,111,200,15.45,62,S
Bici,26/4/2021 20:38,Sevilla,32,342,11.31,84,S
Senderismo,10/9/2020 14:38,Cádiz,66,360,13.92,103,N
Remo,11/2/2021 10:52,Córdoba,35,249,4.26,65,N
Nadar,25/2/2020 22:44,Cádiz,117,238,11.2,58,N
Elíptica,26/12/2020 1:30,Huelva,45,326,7.96,68,N
Andar,10/12/2021 21:17,Cádiz,126,355,13.14,83,N
Bici,10/10/2019 19:43,Huelva,118,341,1.3,99,S
Nadar,1/8/2019 21:43,Huelva,39,186,8.59,97,S
Andar,11/6/2021 17:38,Sevilla,55,345,1.33,61,N
Bici,7/5/2021 15:08,Cádiz,25,242,4.39,124,S
Elíptica,16/3/2020 18:48,Sevilla,84,320,0.46,127,S
Senderismo,24/12/2020 23:56,Málaga,92,356,4.05,88,S
Remo,2/12/2021 3:26,Sevilla,26,164,9.18,110,S
Bici,22/4/2019 14:30,Sevilla,16,161,15.87,66,S
Yoga,13/11/2021 1:04,Málaga,57,323,0.18,64,N
Elíptica,9/9/2019 23:26,Córdoba,77,299,6.93,128,N
Andar,5/6/2020 6:26,Huelva,58,217,13.05,121,S
Cinta,27/9/2020 22:50,Sevilla,20,220,14.89,95,S
Senderismo,25/9/2019 22:30,Córdoba,30,150,2.73,84,N
Nadar,7/6/2021 6:57,Cádiz,97,279,13.64,126,N
Bici,25/2/2021 13:48,Córdoba,70,158,12.74,77,S
Bici,28/1/2019 23:08,Cádiz,61,311,6.14,86,S
Bici,6/12/2020 22:00,Málaga,19,329,14.71,94,S
Senderismo,31/7/2020 10:35,Málaga,66,185,16.73,55,N
Andar,20/5/2020 20:31,Sevilla,61,258,8.49,87,N
Andar,1/9/2020 20:33,Sevilla,99,214,10.58,134,S
Elíptica,9/8/2019 10:10,Huelva,34,205,2.52,121,N
Tenis,3/9/2019 21:44,Cádiz,93,223,4.1,133,S
Tenis,17/4/2020 7:06,Cádiz,75,290,0.54,100,N
Elíptica,30/6/2019 17:15,Málaga,120,195,10.52,139,N
Cinta,23/6/2021 17:01,Cádiz,114,347,12.3,134,S
Elíptica,16/8/2020 5:28,Cádiz,106,193,10.0,65,S
Cinta,23/9/2019 6:47,Cádiz,46,278,1.42,59,S
Yoga,5/3/2021 5:54,Sevilla,120,327,0.4,139,S
Bici,3/7/2021 13:28,Sevilla,113,215,13.62,65,S
Andar,30/12/2019 6:06,Córdoba,26,330,18.49,85,N
Andar,1/8/2019 12:49,Málaga,51,396,17.98,121,N
Tenis,2/1/2020 22:20,Málaga,107,398,15.2,58,S
Nadar,17/8/2021 2:09,Córdoba,85,279,13.67,125,N
Cinta,16/9/2020 20:28,Sevilla,113,217,8.44,128,N
Pilates,6/8/2020 23:17,Córdoba,33,195,16.14,57,N
Tenis,18/1/2021 3:41,Cádiz,43,346,11.53,139,S
Tenis,10/9/2021 19:34,Córdoba,42,293,18.29,55,S
Tenis,10/11/2020 14:01,Málaga,115,167,4.71,64,N
Bici,28/7/2019 13:12,Córdoba,21,315,4.94,110,S
Cinta,27/3/2021 16:03,Sevilla,31,347,10.99,96,S
Elíptica,12/1/2020 4:45,Córdoba,74,377,8.21,89,N
Bici,30/8/2020 7:21,Málaga,42,312,16.71,97,S
Tenis,23/9/2021 15:26,Málaga,39,274,7.93,110,N
Elíptica,3/10/2019 5:32,Córdoba,104,307,18.62,95,N
Yoga,3/4/2020 7:33,Cádiz,64,360,0.23,57,S
Yoga,12/12/2020 9:14,Sevilla,59,369,0.05,106,N
Correr,31/7/2020 11:30,Córdoba,27,323,8.06,98,S
Cinta,27/10/2021 12:55,Cádiz,130,385,6.88,87,S
Yoga,29/10/2019 15:26,Sevilla,40,205,0.11,77,N
Yoga,12/3/2021 16:20,Málaga,118,228,0.45,129,N
Remo,9/11/2021 10:16,Córdoba,116,366,4.27,62,S
Senderismo,1/6/2019 9:36,Huelva,68,277,13.88,67,S
Bici,13/7/2019 4:52,Huelva,76,263,1.95,83,N
Bici,8/4/2021 21:53,Huelva,91,279,2.64,121,N
Andar,20/8/2021 5:33,Málaga,88,156,16.68,115,S
Pilates,6/8/2019 2:35,Huelva,127,396,3.96,122,S
Yoga,14/11/2019 15:15,Córdoba,67,369,0.16,57,N
Remo,8/10/2021 13:33,Málaga,27,165,16.66,113,N
Andar,31/1/2019 10:38,Málaga,129,355,6.7,108,S
Andar,5/7/2019 0:42,Cádiz,28,347,8.44,123,S
Andar,30/6/2020 12:23,Córdoba,106,200,4.75,59,N
Nadar,19/1/2019 21:45,Córdoba,77,391,4.86,138,N
Andar,11/4/2019 7:34,Córdoba,122,233,15.9,96,N
Nadar,7/4/2021 4:20,Huelva,114,179,16.6,97,N
Pilates,23/11/2020 10:08,Cádiz,55,315,8.45,104,N
Nadar,18/1/2019 4:50,Sevilla,28,202,13.88,82,N
Correr,7/10/2019 11:32,Cádiz,105,216,2.53,107,S
Senderismo,3/4/2019 13:23,Cádiz,72,198,13.12,129,S
Correr,28/2/2020 17:48,Málaga,17,233,15.97,79,S
Pilates,8/6/2021 16:46,Córdoba,30,242,18.53,67,N
Nadar,15/11/2019 11:49,Sevilla,121,319,0.72,71,N
Tenis,4/11/2019 23:32,Cádiz,50,358,3.53,68,S
Tenis,22/9/2021 5:52,Cádiz,102,377,19.67,130,N
Senderismo,30/4/2020 15:18,Sevilla,15,298,15.41,81,S
Bici,15/2/2021 13:27,Córdoba,77,237,9.99,59,N
Senderismo,27/3/2020 12:18,Córdoba,117,294,16.8,81,N
Nadar,23/1/2020 23:11,Málaga,87,322,11.11,86,N
Pilates,8/3/2021 4:33,Cádiz,74,215,14.72,75,N
Pilates,9/4/2019 1:31,Huelva,55,235,5.25,126,S
Nadar,24/4/2019 18:49,Córdoba,38,354,19.55,81,N
Elíptica,3/6/2020 16:40,Cádiz,57,151,17.73,137,S
Andar,14/7/2019 9:39,Huelva,59,262,6.62,97,N
Yoga,4/12/2020 18:54,Córdoba,101,177,0.22,90,S
Tenis,16/11/2020 1:01,Sevilla,29,262,18.1,118,N
Bici,10/9/2019 4:14,Córdoba,24,259,5.74,113,S
Bici,24/5/2021 17:20,Cádiz,95,323,5.61,86,S
Remo,28/8/2020 3:42,Cádiz,77,225,15.82,110,S
Remo,23/11/2019 10:25,Sevilla,109,304,6.39,113,S
Senderismo,4/5/2020 21:55,Córdoba,126,338,15.5,136,N